中野島,登戸,2.2
稲田堤,中野島,1.3
矢野口,稲田堤,1.6
稲城長沼,矢野口,1.7
南多摩,稲城長沼,1.4
府中本町,南多摩,2.4
分倍河原,府中本町,0.9
西府,分倍河原,1.2
谷保,西府,1.6
矢川,谷保,1.4
西国立,矢川,1.3
立川,西国立,1.2
大崎,恵比寿,3.6
恵比寿,渋谷,1.6
渋谷,新宿,3.4
新宿,池袋,4.8
池袋,板橋,1.8
板橋,十条,1.7
十条,赤羽,2
赤羽,北赤羽,1.5
北赤羽,浮間舟渡,1.6
浮間舟渡,戸田公園,2.4
戸田公園,戸田,1.3
戸田,北戸田,1.4
北戸田,武蔵浦和,2.4
武蔵浦和,中浦和,1.2
中浦和,南与野,1.7
南与野,与野本町,1.6
与野本町,北与野,1.1
北与野,大宮,1.8
恵比寿,大崎,3.6
渋谷,恵比寿,1.6
新宿,渋谷,3.4
池袋,新宿,4.8
板橋,池袋,1.8
十条,板橋,1.7
赤羽,十条,2
北赤羽,赤羽,1.5
浮間舟渡,北赤羽,1.6
戸田公園,浮間舟渡,2.4
戸田,戸田公園,1.3
北戸田,戸田,1.4
武蔵浦和,北戸田,2.4
中浦和,武蔵浦和,1.2
南与野,中浦和,1.7
与野本町,南与野,1.6
北与野,与野本町,1.1
大宮,北与野,1.8
千葉,西千葉,1.4
西千葉,稲毛,1.9
稲毛,新検見川,2.7
新検見川,幕張,1.6
幕張,幕張本郷,2
幕張本郷,津田沼,2.9
津田沼,東船橋,1.7
東船橋,船橋,1.8
船橋,西船橋,2.6
西船橋,下総中山,1.6
下総中山,本八幡,1.6
本八幡,市川,2
市川,小岩,2.6
小岩,新小岩,2.8
新小岩,平井,1.8
平井,亀戸,1.9
亀戸,錦糸町,1.5
錦糸町,両国,1.5
両国,浅草橋,0.8
浅草橋,秋葉原,1.1
秋葉原,御茶ノ水,0.9
御茶ノ水,水道橋,0.8
水道橋,飯田橋,0.9
飯田橋,市ケ谷,1.5
市ケ谷,四ツ谷,0.8
四ツ谷,信濃町,1.3
信濃町,千駄ケ谷,0.7
千駄ケ谷,代々木,1
代々木,新宿,0.7
新宿,大久保,1.4
大久保,東中野,1.1
東中野,中野,1.9
中野,高円寺,1.4
高円寺,阿佐ケ谷,1.2
阿佐ケ谷,荻窪,1.4
荻窪,西荻窪,1.9
西荻窪,吉祥寺,1.9
吉祥寺,三鷹,1.6
西千葉,千葉,1.4
稲毛,西千葉,1.9
新検見川,稲毛,2.7
幕張,新検見川,1.6
幕張本郷,幕張,2
津田沼,幕張本郷,2.9
東船橋,津田沼,1.7
船橋,東船橋,1.8
西船橋,船橋,2.6
下総中山,西船橋,1.6
本八幡,下総中山,1.6
市川,本八幡,2
小岩,市川,2.6
新小岩,小岩,2.8
平井,新小岩,1.8
亀戸,平井,1.9
錦糸町,亀戸,1.5
両国,錦糸町,1.5
浅草橋,両国,0.8
秋葉原,浅草橋,1.1
御茶ノ水,秋葉原,0.9
水道橋,御茶ノ水,0.8
飯田橋,水道橋,0.9
市ケ谷,飯田橋,1.5
四ツ谷,市ケ谷,0.8
信濃町,四ツ谷,1.3
千駄ケ谷,信濃町,0.7
代々木,千駄ケ谷,1
新宿,代々木,0.7
大久保,新宿,1.4
東中野,大久保,1.1
中野,東中野,1.9
高円寺,中野,1.4
阿佐ケ谷,高円寺,1.2
荻窪,阿佐ケ谷,1.4
西荻窪,荻窪,1.9
吉祥寺,西荻窪,1.9
三鷹,吉祥寺,1.6
鶴見,国道,0.9
国道,鶴見小野,0.6
鶴見小野,弁天橋,0.9
弁天橋,浅野,0.6
浅野,安善,0.5
安善,武蔵白石,0.6
武蔵白石,浜川崎,1.6
浜川崎,昭和,0.7
昭和,扇町,0.6
国道,鶴見,0.9
鶴見小野,国道,0.6
弁天橋,鶴見小野,0.9
浅野,弁天橋,0.6
安善,浅野,0.5
武蔵白石,安善,0.6
浜川崎,武蔵白石,1.6
昭和,浜川崎,0.7
扇町,昭和,0.6
大宮,浦和,6.1
浦和,赤羽,11
赤羽,池袋,5.5
池袋,新宿,4.8
新宿,渋谷,3.4
渋谷,恵比寿,1.6
恵比寿,大崎,3.6
大崎,西大井,5.6
西大井,武蔵小杉,6.4
武蔵小杉,新川崎,2.7
新川崎,横浜,12.2
横浜,保土ケ谷,3
保土ケ谷,東戸塚,4.9
東戸塚,戸塚,4.2
戸塚,大船,5.6
大船,北鎌倉,2.3
北鎌倉,鎌倉,2.2
鎌倉,逗子,4.1
浦和,大宮,6.1
赤羽,浦和,11
池袋,赤羽,5.5
新宿,池袋,4.8
渋谷,新宿,3.4
恵比寿,渋谷,1.6
大崎,恵比寿,3.6
西大井,大崎,5.6
武蔵小杉,西大井,6.4
新川崎,武蔵小杉,2.7
横浜,新川崎,12.2
保土ケ谷,横浜,3
東戸塚,保土ケ谷,4.9
戸塚,東戸塚,4.2
大船,戸塚,5.6
北鎌倉,大船,2.3
鎌倉,北鎌倉,2.2
逗子,鎌倉,4.1
東京,上野,3.6
上野,尾久,4.8
尾久,赤羽,5
赤羽,浦和,11
浦和,さいたま新都心,4.5
さいたま新都心,大宮,1.6
上野,東京,3.6
尾久,上野,4.8
赤羽,尾久,5
浦和,赤羽,11
さいたま新都心,浦和,4.5
大宮,さいたま新都心,1.6
東京,神田,1.3
神田,秋葉原,0.7
秋葉原,御徒町,1
御徒町,上野,0.6
上野,鶯谷,1.1
鶯谷,日暮里,1.1
日暮里,西日暮里,0.5
西日暮里,田端,0.8
田端,駒込,1.6
駒込,巣鴨,0.7
巣鴨,大塚,1.1
大塚,池袋,1.8
池袋,目白,1.2
目白,高田馬場,0.9
高田馬場,新大久保,1.4
新大久保,新宿,1.3
新宿,代々木,0.7
代々木,原宿,1.5
原宿,渋谷,1.2
渋谷,恵比寿,1.6
恵比寿,目黒,1.5
目黒,五反田,1.2
五反田,大崎,0.9
大崎,品川,2
品川,田町,2.2
田町,浜松町,1.5
浜松町,新橋,1.2
新橋,有楽町,1.1
有楽町,東京,0.8
東京,有楽町,0.8
神田,東京,1.3
秋葉原,神田,0.7
御徒町,秋葉原,1
上野,御徒町,0.6
鶯谷,上野,1.1
日暮里,鶯谷,1.1
西日暮里,日暮里,0.5
田端,西日暮里,0.8
駒込,田端,1.6
巣鴨,駒込,0.7
大塚,巣鴨,1.1
池袋,大塚,1.8
目白,池袋,1.2
高田馬場,目白,0.9
新大久保,高田馬場,1.4
新宿,新大久保,1.3
代々木,新宿,0.7
原宿,代々木,1.5
渋谷,原宿,1.2
恵比寿,渋谷,1.6
目黒,恵比寿,1.5
五反田,目黒,1.2
大崎,五反田,0.9
品川,大崎,2
田町,品川,2.2
浜松町,田町,1.5
新橋,浜松町,1.2
有楽町,新橋,1.1
東京,神田,1.3
神田,御茶ノ水,1.3
御茶ノ水,水道橋,0.8
水道橋,飯田橋,0.9
飯田橋,市ケ谷,1.5
市ケ谷,四ツ谷,0.8
四ツ谷,信濃町,1.3
信濃町,千駄ケ谷,0.7
千駄ケ谷,代々木,1
代々木,新宿,0.7
新宿,大久保,1.4
大久保,東中野,1.1
東中野,中野,1.9
中野,高円寺,1.4
高円寺,阿佐ケ谷,1.2
阿佐ケ谷,荻窪,1.4
荻窪,西荻窪,1.9
西荻窪,吉祥寺,1.9
吉祥寺,三鷹,1.6
三鷹,武蔵境,1.6
武蔵境,東小金井,1.7
東小金井,武蔵小金井,1.7
武蔵小金井,国分寺,2.3
国分寺,西国分寺,1.4
西国分寺,国立,1.7
国立,立川,3
立川,日野,3.3
日野,豊田,2.3
豊田,八王子,4.3
八王子,西八王子,2.4
西八王子,高尾,3.3
神田,東京,1.3
御茶ノ水,神田,1.3
水道橋,御茶ノ水,0.8
飯田橋,水道橋,0.9
市ケ谷,飯田橋,1.5
四ツ谷,市ケ谷,0.8
信濃町,四ツ谷,1.3
千駄ケ谷,信濃町,0.7
代々木,千駄ケ谷,1
新宿,代々木,0.7
大久保,新宿,1.4
東中野,大久保,1.1
中野,東中野,1.9
高円寺,中野,1.4
阿佐ケ谷,高円寺,1.2
荻窪,阿佐ケ谷,1.4
西荻窪,荻窪,1.9
吉祥寺,西荻窪,1.9
三鷹,吉祥寺,1.6
武蔵境,三鷹,1.6
東小金井,武蔵境,1.7
武蔵小金井,東小金井,1.7
国分寺,武蔵小金井,2.3
西国分寺,国分寺,1.4
国立,西国分寺,1.7
立川,国立,3
日野,立川,3.3
豊田,日野,2.3
八王子,豊田,4.3
西八王子,八王子,2.4
高尾,西八王子,3.3
立川,西立川,1.9
西立川,東中神,0.8
東中神,中神,0.9
中神,昭島,1.4
昭島,拝島,1.9
拝島,牛浜,1.7
牛浜,福生,1
福生,羽村,2.1
羽村,小作,2.4
小作,河辺,1.8
河辺,東青梅,1.3
東青梅,青梅,1.3
青梅,宮ノ平,2.1
宮ノ平,日向和田,0.8
